,builderName,State,District,Location,Highway,Railway,Metro,busStop,closestEducationalInstituteDistance,closestHospitalDistance,closestMallDistance,closestBusinessParkDistance,flatNumber,flatType,Area,noOfBathrooms,Parking,pricePerSqFeet,totalPrice,Gym,swimmingPool,Garden,yogaArea,playArea,shoppingArea,ATM/Finance
0,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,101,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
1,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,102,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
2,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,103,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
3,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,104,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
4,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,201,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
5,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,202,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
6,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,203,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
7,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,204,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
8,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,301,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
9,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,302,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
10,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,303,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
11,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,304,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
12,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,401,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
13,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,402,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
14,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,403,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
15,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,404,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
16,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,501,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
17,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,502,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
18,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,503,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
19,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,504,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
20,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,601,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
21,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,602,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
22,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,603,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
23,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,604,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
24,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,701,1,378,1,1,21000,7938000,1,0,1,1,1,0,0
25,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,702,2,570,2,1,21000,11970000,1,0,1,1,1,0,0
26,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,703,2,538,2,1,21000,11298000,1,0,1,1,1,0,0
27,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,704,2,520,2,1,21000,10920000,1,0,1,1,1,0,0
28,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,801,1,378,1,1,21000,7938000,1,0,1,1,1,0,0
29,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,802,2,570,2,1,21000,11970000,1,0,1,1,1,0,0
30,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,803,2,538,2,1,21000,11298000,1,0,1,1,1,0,0
31,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,804,2,520,2,1,21000,10920000,1,0,1,1,1,0,0
32,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,901,1,378,1,1,21000,7938000,1,0,1,1,1,0,0
33,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,902,2,570,2,1,21000,11970000,1,0,1,1,1,0,0
34,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,903,2,538,2,1,21000,11298000,1,0,1,1,1,0,0
35,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,904,2,520,2,1,21000,10920000,1,0,1,1,1,0,0
36,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1001,1,378,1,1,21000,7938000,1,0,1,1,1,0,0
37,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1002,2,570,2,1,21000,11970000,1,0,1,1,1,0,0
38,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1003,2,538,2,1,21000,11298000,1,0,1,1,1,0,0
39,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1004,2,520,2,1,21000,10920000,1,0,1,1,1,0,0
40,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1101,1,378,1,1,21500,8127000,1,0,1,1,1,0,0
41,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1102,2,570,2,1,21500,12255000,1,0,1,1,1,0,0
42,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1103,2,538,2,1,21500,11567000,1,0,1,1,1,0,0
43,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1104,2,520,2,1,21500,11180000,1,0,1,1,1,0,0
44,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1201,1,378,1,1,21500,8127000,1,0,1,1,1,0,0
45,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1202,2,570,2,1,21500,12255000,1,0,1,1,1,0,0
46,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1203,2,538,2,1,21500,11567000,1,0,1,1,1,0,0
47,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1204,2,520,2,1,21500,11180000,1,0,1,1,1,0,0
48,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1301,1,378,1,1,21500,8127000,1,0,1,1,1,0,0
49,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1302,2,570,2,1,21500,12255000,1,0,1,1,1,0,0
50,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1303,2,538,2,1,21500,11567000,1,0,1,1,1,0,0
51,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1304,2,520,2,1,21500,11180000,1,0,1,1,1,0,0
52,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1401,1,378,1,1,21500,8127000,1,0,1,1,1,0,0
53,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1402,2,570,2,1,21500,12255000,1,0,1,1,1,0,0
54,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1403,2,538,2,1,21500,11567000,1,0,1,1,1,0,0
55,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1404,2,520,2,1,21500,11180000,1,0,1,1,1,0,0
