,Builder Name,State,District,Location,Highway (mtrs),Railway (mtrs),Metro (mtrs),Bus Stop (mtrs),Closest Educational Institute Distance (m),Closest Hospital Distance (m),Closest Mall Distance (m),Closest Business Park distance (m),Flat number,Flat type (bhk),Area ,No. of bathrooms,Parking,Price per sq feet,Total price (approx),Gym,Swimming pool,Garden,Yoga area,Play area,Shopping area,ATM/Finance
0,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,101.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,102.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,103.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
3,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,104.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
4,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,201.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
5,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,202.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
6,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,203.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
7,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,204.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
8,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,301.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
9,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,302.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
10,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,303.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
11,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,304.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
12,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,401.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
13,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,402.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
14,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,403.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
15,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,404.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
16,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,501.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
17,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,502.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
18,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,503.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
19,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,504.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
20,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,601.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
21,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,602.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
22,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,603.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
23,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,604.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
24,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,701.0,1,378,1,1,21000,7938000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
25,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,702.0,2,570,2,1,21000,11970000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
26,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,703.0,2,538,2,1,21000,11298000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
27,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,704.0,2,520,2,1,21000,10920000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
28,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,801.0,1,378,1,1,21000,7938000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
29,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,802.0,2,570,2,1,21000,11970000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
30,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,803.0,2,538,2,1,21000,11298000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
31,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,804.0,2,520,2,1,21000,10920000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
32,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,901.0,1,378,1,1,21000,7938000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
33,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,902.0,2,570,2,1,21000,11970000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
34,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,903.0,2,538,2,1,21000,11298000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
35,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,904.0,2,520,2,1,21000,10920000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
