,closestEducationalInstituteDistance,flatType,Area,pricePerSqFeet,shoppingArea,totalSalePrice,predictedSalePrice
0,1400.0,2.0,831.0000000000003,30100.000000000004,1.0,28507840.000000015,27828890.29256952
1,1400.0,3.0,1051.0000000000002,30500.000000000022,1.0,36179040.00000004,36746302.093991555
2,1300.0,3.0,1320.0,26999.999999999996,1.0,35640000.00000002,38739933.61077469
3,1000.0,2.0,520.0,21499.99999999998,0.0,11179999.999999981,11381883.334438799
4,1400.0,2.0,736.0000000000003,30100.000000000004,1.0,27649540.000000022,25758730.60951632
5,1400.0,3.0,1051.0000000000002,27699.99999999999,1.0,36436240.000000015,33993460.62224133
6,1400.0,2.0,736.0000000000003,30500.000000000022,1.0,25643939.999999963,26035192.25010575
7,1400.0,2.0,713.0,28600.000000000007,1.0,23563820.0,24221003.732536398
8,1400.0,2.0,831.0000000000003,29900.0,1.0,28341640.00000003,27679265.82143728
9,1400.0,2.0,831.0000000000003,28900.00000000002,1.0,27510640.000000037,26928238.0173967
10,1300.0,3.0,1277.9999999999998,31250.000000000025,1.0,39937500.00000003,42712581.99004505
11,1300.0,3.0,1694.9999999999998,30149.999999999993,1.0,51104249.99999993,49666206.64832622
12,1300.0,3.0,1277.9999999999998,33700.00000000001,1.0,43068600.00000001,45400813.74045193
13,1400.0,4.0,1740.0000000000005,29099.999999999996,1.0,61874099.99999997,54860189.52472225
14,1400.0,2.0,736.0000000000003,29600.000000000004,1.0,27281540.000000007,25412162.41091133
15,1000.0,2.0,520.0,20999.999999999985,0.0,10920000.000000002,11167354.143758541
16,1400.0,2.0,831.0000000000003,30199.99999999999,1.0,28590940.00000003,27903631.144313756
17,1000.0,2.0,570.0000000000002,20560.000000000015,0.0,11719199.999999993,11638628.97172955
18,1300.0,3.0,1694.9999999999998,26999.999999999996,1.0,45765000.00000002,45426270.3307803
19,1300.0,3.0,1694.9999999999998,31700.000000000004,1.0,53731499.99999995,51721024.12014003
20,1300.0,3.0,1320.0,28949.999999999996,1.0,38214000.00000002,40987271.963896826
21,1300.0,3.0,1694.9999999999998,30649.99999999999,1.0,51951750.000000015,50331211.980653614
22,1400.0,2.0,736.0000000000003,28900.00000000002,1.0,24466339.999999966,24925076.838736363
23,1400.0,3.0,1051.0000000000002,30500.000000000022,1.0,36179040.00000004,36746302.093991555
24,1400.0,2.0,736.0000000000003,29400.000000000007,1.0,24834340.00000004,25273222.23904392
25,1300.0,3.0,1277.9999999999998,32299.99999999998,1.0,41279399.99999997,43869444.35460629
26,1400.0,2.0,713.0,29500.000000000025,1.0,24205519.99999997,24835531.90833257
27,1300.0,3.0,1320.0,30149.999999999993,1.0,39797999.999999955,42355789.59585969
28,1300.0,3.0,1277.9999999999998,27450.000000000004,1.0,35081099.99999994,38461126.792953394
29,1400.0,4.0,1740.0000000000005,28200.00000000002,1.0,60308100.0000001,53484018.303093374
30,1400.0,2.0,831.0000000000003,27600.0,1.0,26430339.99999996,25944410.374269437
31,1400.0,2.0,831.0000000000003,28799.999999999993,1.0,27427539.999999966,26852864.191312473
32,1400.0,4.0,1740.0000000000005,30000.000000000007,1.0,63440099.9999999,56228239.61265615
33,1400.0,2.0,831.0000000000003,28799.999999999993,1.0,27427539.999999966,26852864.191312473
34,1300.0,3.0,1694.9999999999998,33400.0,1.0,56612999.99999993,53952723.73510195
35,1400.0,2.0,831.0000000000003,28399.999999999993,1.0,27095140.000000045,26550865.869327277
36,1400.0,2.0,736.0000000000003,28900.00000000002,1.0,26766339.99999996,24925076.838736363
37,20.0,2.0,701.9999999999998,24900.000000000004,0.0,17479800.0,16502366.933881259
38,1400.0,2.0,831.0000000000003,30199.99999999999,1.0,28590940.00000003,27903631.144313756
39,1000.0,2.0,538.0,22000.0,0.0,11835999.999999989,11849456.883998586
40,1300.0,3.0,1277.9999999999998,32150.000000000004,1.0,41087700.0,43704624.069793895
41,20.0,2.0,636.9999999999999,24549.99999999998,0.0,15638350.000000013,15335763.316092813
42,20.0,2.0,701.9999999999998,24049.999999999985,0.0,16883099.999999985,16045312.535301507
43,1000.0,1.0,378.0000000000001,22499.99999999999,0.0,8504999.999999998,8567445.72630993
44,1000.0,2.0,538.0,20560.000000000015,0.0,11061280.000000019,11218225.290709544
45,20.0,2.0,636.9999999999999,24200.00000000002,0.0,15415400.00000001,15158718.26698762
46,1300.0,3.0,1694.9999999999998,28350.0,1.0,48053250.00000003,47254377.00766546
47,1400.0,3.0,1051.0000000000002,28600.000000000007,1.0,37382140.00000001,34883870.052791275
48,1000.0,2.0,520.0,22000.0,0.0,11440000.00000001,11595459.952182889
49,1000.0,1.0,378.0000000000001,22499.99999999999,0.0,8504999.999999998,8567445.72630993
50,1400.0,2.0,713.0,28000.000000000004,1.0,23136020.000000015,23809264.74826476
51,1000.0,2.0,538.0,22499.99999999999,0.0,12104999.999999985,12066764.732898612
52,1300.0,3.0,1277.9999999999998,27600.0,1.0,35272799.99999999,38630994.50179553
53,20.0,2.0,636.9999999999999,24599.99999999998,0.0,15670199.999999985,15361015.902743619
54,1400.0,2.0,831.0000000000003,27699.99999999999,1.0,26513440.0,26020399.404086933
55,1400.0,2.0,713.0,29099.999999999996,1.0,23920320.00000002,24562857.721745826
56,1400.0,2.0,736.0000000000003,29799.99999999999,1.0,25128740.000000037,25550923.07122053
57,1300.0,3.0,1277.9999999999998,30500.000000000022,1.0,38979000.00000002,41881700.2258549
58,1300.0,3.0,1694.9999999999998,29550.00000000002,1.0,50087250.00000007,48865406.58554483
59,1400.0,2.0,736.0000000000003,30100.000000000004,1.0,25349539.999999966,25758730.60951632
60,20.0,2.0,604.0000000000001,24200.00000000002,0.0,14616799.999999974,14653858.720689
61,20.0,2.0,604.0000000000001,24100.000000000004,0.0,14556400.000000019,14604872.368921423
62,1400.0,2.0,713.0,30500.000000000022,1.0,24918520.000000007,25514150.77594759
63,1400.0,3.0,1051.0000000000002,30199.99999999999,1.0,39063739.99999997,36453744.30235658
64,1000.0,2.0,538.0,22000.0,0.0,11835999.999999989,11849456.883998586
65,1400.0,2.0,713.0,29700.00000000002,1.0,24348120.000000026,24971603.338450227
66,1000.0,2.0,520.0,20560.000000000015,0.0,10691199.999999998,10977759.01177782
67,1400.0,3.0,1051.0000000000002,28000.000000000004,1.0,33551540.000000022,34290870.300113566
68,1400.0,2.0,736.0000000000003,30400.00000000002,1.0,27870340.00000003,25966142.22249534
69,20.0,2.0,636.9999999999999,24049.999999999985,0.0,15319850.000000015,15082692.117952958
70,1300.0,3.0,1320.0,32449.999999999996,1.0,42833999.999999955,44950157.17677785
71,1000.0,2.0,570.0000000000002,20560.000000000015,0.0,11719199.999999993,11638628.97172955
72,1000.0,2.0,538.0,22499.99999999999,0.0,12104999.999999985,12066764.732898612
73,1400.0,4.0,1740.0000000000005,28600.000000000007,1.0,61004100.00000004,54096671.905955784
74,1000.0,2.0,570.0000000000002,20560.000000000015,0.0,11719199.999999993,11638628.97172955
75,1300.0,3.0,1694.9999999999998,33849.99999999998,1.0,57375750.00000001,54539792.22977405
76,1400.0,2.0,736.0000000000003,30000.000000000007,1.0,27575940.00000003,25689505.654367976
77,1000.0,1.0,378.0000000000001,21499.99999999998,0.0,8126999.999999995,8258194.571448424
78,1000.0,2.0,538.0,20999.999999999985,0.0,11297999.999999983,11411973.47759355
79,1300.0,3.0,1320.0,33849.99999999998,1.0,44682000.000000015,46512027.39607786
80,1400.0,2.0,736.0000000000003,30000.000000000007,1.0,27575940.00000003,25689505.654367976
81,1000.0,2.0,538.0,21499.99999999998,0.0,11567000.000000002,11631201.900252778
82,1000.0,2.0,520.0,20560.000000000015,0.0,10691199.999999998,10977759.01177782
83,1300.0,3.0,1277.9999999999998,31850.000000000007,1.0,40704300.0,43374541.06543287
84,1400.0,2.0,736.0000000000003,29200.00000000001,1.0,24687139.999999978,25134101.099824727
85,1400.0,2.0,713.0,30299.999999999975,1.0,24775919.99999996,25378771.908625197
86,1000.0,2.0,520.0,20560.000000000015,0.0,10691199.999999998,10977759.01177782
87,1000.0,1.0,378.0000000000001,22499.99999999999,0.0,8504999.999999998,8567445.72630993
88,1400.0,3.0,1051.0000000000002,28200.00000000002,1.0,33761740.00000001,34488804.55399719
89,1400.0,2.0,831.0000000000003,27600.0,1.0,26430339.99999996,25944410.374269437
90,1400.0,2.0,736.0000000000003,27600.0,1.0,25809539.999999985,24014435.021578565
91,1400.0,2.0,831.0000000000003,29000.00000000001,1.0,27593739.999999974,27003561.956951104
92,1300.0,3.0,1277.9999999999998,30450.000000000015,1.0,38915100.000000015,41826170.03757415
93,1400.0,3.0,1051.0000000000002,28300.000000000015,1.0,37066839.999999955,34587670.88203449
94,1000.0,1.0,378.0000000000001,20560.000000000015,0.0,7771679.999999994,7964979.71503784
95,1400.0,2.0,736.0000000000003,28100.000000000004,1.0,26177540.000000026,24365632.868741415
96,20.0,1.0,409.00000000000017,24750.000000000007,0.0,10122750.000000017,10349090.746573035
97,20.0,2.0,604.0000000000001,24599.99999999998,0.0,14858400.000000004,14849418.854579326
98,1000.0,2.0,520.0,22000.0,0.0,11440000.00000001,11595459.952182889
99,20.0,2.0,604.0000000000001,23999.999999999985,0.0,14496000.000000007,14555847.10948422
100,1400.0,2.0,831.0000000000003,28399.999999999993,1.0,27095140.000000045,26550865.869327277
101,1400.0,3.0,1051.0000000000002,28100.000000000004,1.0,33656640.00000006,34389871.121555686
102,1000.0,1.0,378.0000000000001,20560.000000000015,0.0,7771679.999999994,7964979.71503784
103,1400.0,2.0,736.0000000000003,30299.999999999975,1.0,27796740.000000045,25897048.720724985
104,1300.0,3.0,1277.9999999999998,27900.000000000007,1.0,35656200.0,38970201.39947059
105,1400.0,2.0,831.0000000000003,29400.000000000007,1.0,27926139.999999993,27304362.92424449
106,1000.0,2.0,520.0,20999.999999999985,0.0,10920000.000000002,11167354.143758541
107,1400.0,2.0,736.0000000000003,30400.00000000002,1.0,27870340.00000003,25966142.22249534
108,1300.0,3.0,1320.0,27450.000000000004,1.0,36233999.99999997,39261231.13783483
109,1400.0,2.0,713.0,30400.00000000002,1.0,24847220.000000037,25446482.64434283
110,1300.0,3.0,1320.0,28500.00000000002,1.0,37620000.00000006,40471296.73216015
111,1400.0,2.0,713.0,28900.00000000002,1.0,23777720.000000015,24426252.068986274
112,20.0,2.0,604.0000000000001,24450.000000000015,0.0,14767799.999999998,14776155.631290847
113,1400.0,2.0,736.0000000000003,29400.000000000007,1.0,27134339.999999966,25273222.23904392
114,1300.0,3.0,1277.9999999999998,30000.000000000007,1.0,38339999.99999994,41325608.98459561
115,1400.0,2.0,831.0000000000003,29900.0,1.0,28341640.00000003,27679265.82143728
116,1000.0,2.0,538.0,22000.0,0.0,11835999.999999989,11849456.883998586
117,1400.0,4.0,1740.0000000000005,28100.000000000004,1.0,60134099.99999995,53330595.83513845
118,1000.0,2.0,520.0,22000.0,0.0,11440000.00000001,11595459.952182889
119,1300.0,3.0,1320.0,30000.000000000007,1.0,39599999.99999998,42185302.96811921
120,1400.0,2.0,831.0000000000003,29299.999999999996,1.0,27843039.99999998,27229236.497444376
121,1300.0,3.0,1694.9999999999998,32749.999999999975,1.0,55511250.0000001,53102054.11067503
